,angle,lObjDetected,p1Detected,fObjDetected,p5Detected,rObjDetected,vlm_feedback,prev_action,action
0,0.495739039,0,1,0,0,0,none,1,0
1,-0.024412229,1,1,0,1,1,none,0,0
2,0.39135324,1,0,1,1,0,left,2,0
3,0.480235854,0,1,1,1,0,both,2,2
4,2.366712594,1,0,1,0,1,left,1,1
5,-1.161524504,1,1,1,1,1,both,1,1
6,0.83689536,1,1,0,0,1,none,1,0
7,-0.500689236,1,1,0,1,0,none,2,0
8,0.757555714,1,0,1,1,1,left,2,0
9,0.728252684,1,1,0,1,1,none,2,0
10,2.065529787,0,1,0,1,0,none,0,0
11,1.998204782,0,1,0,0,1,none,1,0
12,-2.099039564,0,1,1,1,1,left,0,1
13,0.073183992,0,0,0,0,1,none,1,0
14,-1.286017584,0,0,1,0,1,right,0,2
15,-2.330677752,0,1,0,1,0,none,2,0
16,-0.566971321,1,0,1,1,0,both,1,1
17,-0.30785618,0,0,0,0,1,none,1,0
18,0.168420912,0,1,1,0,0,both,2,2
19,1.930459149,0,1,0,1,1,none,0,0
20,1.994911129,0,0,1,0,1,right,1,0
21,1.810334665,1,1,1,0,1,right,0,2
22,-2.550282324,0,1,1,0,0,right,2,2
23,-0.453433084,0,0,1,1,0,both,0,1
24,0.03056818,0,1,1,0,1,both,2,2
25,0.424031757,0,1,1,1,1,left,1,1
26,1.048291762,1,1,0,1,1,none,0,0
27,2.196671087,0,1,0,0,1,none,0,0
28,-1.969754864,0,0,1,0,1,right,0,2
29,0.096593074,0,0,0,1,1,none,1,0
30,2.33249168,1,0,1,0,0,left,2,0
31,1.984692193,0,0,1,1,1,right,2,2
32,-3.117919902,0,1,1,1,0,right,1,0
33,-0.142744564,1,1,1,1,1,left,0,1
34,2.788836933,1,0,1,1,1,left,1,1
35,2.52194985,1,1,0,0,0,none,2,2
36,2.077851904,1,0,0,1,0,none,0,0
37,1.09416708,0,0,1,0,0,right,0,2
38,-1.553211423,1,1,0,0,1,none,2,0
39,2.393050674,0,0,1,1,0,both,1,0
40,-0.313935678,0,0,0,0,0,none,1,0
41,1.02838611,0,1,0,0,0,none,1,0
42,0.303037521,1,0,1,0,0,right,2,2
43,0.879416016,0,1,1,1,1,both,0,2
44,-2.827690899,0,1,1,0,1,both,2,0
45,-1.642866842,0,1,1,0,0,both,2,0
46,2.177973619,0,1,1,0,1,left,2,0
47,2.076065877,1,0,0,1,0,none,2,0
48,1.232854445,1,1,0,0,1,none,2,0
49,2.321485366,0,0,0,0,0,none,2,2
50,-0.124739339,0,0,1,0,1,left,0,1
51,1.405495209,1,0,1,0,1,left,2,0
52,1.31379742,1,0,1,0,0,both,1,0
53,-2.436315881,0,1,1,0,1,both,1,1
54,0.953062061,0,1,1,0,0,left,2,0
55,-2.93110652,0,1,0,0,1,none,2,0
56,1.304665402,1,0,0,0,0,none,1,0
57,1.525012705,1,1,0,0,1,none,0,0
58,-3.120599971,1,0,0,0,1,none,2,0
59,1.810865244,1,0,1,1,1,right,0,2
60,-1.368211064,0,1,0,1,1,none,0,0
61,-2.901109906,1,1,1,0,0,left,1,1
62,-2.424426366,1,0,0,0,0,none,2,0
63,2.795585856,0,0,0,1,1,none,2,0
64,0.691677973,0,1,0,0,1,none,2,0
65,1.403783012,0,0,1,1,1,both,0,2
66,3.014657438,0,0,0,0,1,none,0,0
67,1.394912221,0,0,1,1,0,right,2,2
68,0.755780572,1,1,0,1,1,none,2,0
69,-1.2223358,1,0,0,0,1,none,1,0
70,-2.137308354,0,1,1,1,1,right,1,0
71,0.628968292,1,0,0,1,1,none,0,0
72,2.290534497,0,0,0,0,1,none,2,0
73,0.177499893,0,0,1,0,0,both,0,2
74,3.042689099,1,0,0,0,1,none,2,0
75,-2.036392813,1,1,1,1,1,right,1,0
76,-0.92795999,0,0,1,1,1,both,2,0
77,-3.056803853,1,0,0,0,0,none,0,0
78,-2.954939718,0,0,0,0,1,none,1,1
79,-3.004320199,1,0,0,1,0,none,2,0
80,2.505499977,1,0,0,0,0,none,0,2
81,-2.253913828,0,0,1,1,1,left,0,1
82,1.707501705,1,1,1,0,1,right,1,0
83,-1.648911412,0,1,1,0,0,right,2,2
84,-2.88328811,1,0,1,1,0,right,0,2
85,-1.037777459,1,1,1,0,1,right,0,2
86,2.462360661,1,1,0,1,1,none,2,0
87,2.919575126,1,1,1,0,0,right,0,2
88,1.981743334,1,0,0,1,0,none,0,0
89,1.24718019,1,1,1,0,0,left,1,1
90,2.425143186,1,0,0,1,0,none,2,0
91,-1.400841445,1,1,0,1,0,none,1,0
92,-1.617455711,1,0,1,0,1,right,1,0
93,0.200246653,1,1,0,0,0,none,0,0
94,-2.560891464,0,1,1,0,0,left,2,0
95,1.445017634,1,1,0,0,0,none,1,0
96,-3.031361663,1,1,1,1,0,left,2,0
97,1.700958804,0,1,1,0,0,both,0,2
98,-2.006209116,1,0,1,1,0,left,1,1
99,-1.606569384,0,0,1,1,1,right,2,2
100,-2.598856646,1,0,0,1,0,none,1,0
101,-2.766291076,0,0,1,0,1,both,2,0
102,-2.819550975,0,1,1,0,1,left,1,1
103,-1.412765901,0,1,1,0,0,both,1,1
104,-0.004443079,1,0,0,1,1,none,1,0
105,-0.515138139,0,1,1,0,0,both,0,1
106,-1.651894109,0,1,0,0,0,none,1,0
107,0.98110417,1,1,1,0,1,right,1,0
108,0.146235035,1,1,0,1,0,none,1,0
109,-0.821151874,1,1,1,0,0,both,2,0
110,0.404895912,0,1,1,0,0,right,1,0
111,2.995384368,0,1,0,0,0,none,1,0
112,0.941114429,1,1,1,1,1,right,2,2
113,3.004405386,1,0,0,1,0,none,2,0
114,0.555368596,1,0,1,1,0,right,1,0
